relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
29,QA Engineer | Poland,linkedin,Quality Assurance Automation Engineer,Intellias,Poland,On-site,Full-time,"Javascript, Pytest, Python, Test Automation","Azure, Gitlab, Pandas",English,,,Recent,https://pl.linkedin.com/jobs/view/quality-assurance-automation-engineer-at-intellias-4413456323,2026-05-18T13:52:05.972203+00:00
14,Python Test | Remote,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,"Frankfurt am Main, Hesse, Germany",Remote,Contract,"Bash, C, C++, Can, Claude, Cursor, Go, Llm, Pytest, Python, Rust","Senior, Docker, Github, Expert, Linux, Git",English,"Expert, Senior",,Recent,https://de.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4414216667,2026-05-18T13:53:48.228984+00:00
14,Python Test | Remote,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,"Hamburg, Hamburg, Germany",Remote,Contract,"Bash, C, C++, Can, Claude, Cursor, Go, Llm, Pytest, Python, Rust","Senior, Docker, Github, Expert, Linux, Git",English,"Expert, Senior",,Recent,https://de.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4414233006,2026-05-18T13:53:48.229138+00:00
14,Python Test | Slovakia,linkedin,Senior Automation QA Engineer / SDET (Python),Binance,"Bratislava, Bratislava, Slovakia",Hybrid,Contract,"Bash, Integration Testing, Python","Senior, Linux, Unix",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-automation-qa-engineer-sdet-python-at-binance-4251138358,2026-05-18T13:53:50.646701+00:00
14,Python Test | Czech Republic,linkedin,Senior SDET,Encora Inc.,"Santo Domingo Este, Santo Domingo, Dominican Republic",Remote,Contract,"Github Actions, Javascript, Playwright, Test Automation, Typescript","Senior, Splunk, Azure, Cypress, Gcp, Docker, Github, Agile, Performance Testing, Aws",English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-sdet-at-encora-inc-4409064327,2026-05-18T13:53:53.038187+00:00
14,Python Test | Czech Republic,linkedin,Automation Engineer,Eaton,"Bajos de Haina, San Cristóbal, Dominican Republic",Remote,Contract,Can,"Lead, Expert, Assembly",English,"Expert, Lead",,Recent,https://do.linkedin.com/jobs/view/automation-engineer-at-eaton-4406476697,2026-05-18T13:53:53.038540+00:00
14,Python Test | Czech Republic,linkedin,Senior SDET,Perform,Dominican Republic,On-site,Full-time,"C, Java, Javascript, Playwright, Test Automation","Senior, Gcp, C#, Aws",English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-sdet-at-perform-4344131612,2026-05-18T13:53:53.039180+00:00
14,Python Test | Czech Republic,linkedin,Sr. SDET (Gaming Industry),Perform,Dominican Republic,On-site,Full-time,"Java, Typescript","Senior, Manual Testing, Agile",English,Senior,,Recent,https://do.linkedin.com/jobs/view/sr-sdet-gaming-industry-at-perform-4362287427,2026-05-18T13:53:53.039355+00:00
14,Python Test | Poland,linkedin,Senior QA Engineer,Nearmap,"Warsaw, Mazowieckie, Poland",Remote,Full-time,"Ci/Cd, Javascript, Selenium, Test Automation","Senior, Manual Testing, Agile, Postman, Git",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-qa-engineer-at-nearmap-4405454064,2026-05-18T13:53:55.495956+00:00
14,Python Test | USA,linkedin,Data Scientist,Los Angeles Lakers,"El Segundo, CA",On-site,Full-time,Python,"Senior, Scikit-Learn, Mlops, Data Science, Sql, Machine Learning, Deep Learning, Tensorflow",English,Senior,,Recent,https://www.linkedin.com/jobs/view/data-scientist-at-los-angeles-lakers-4412393985,2026-05-18T13:53:58.110553+00:00
14,Python Test | USA,linkedin,Senior Manual QA Engineer,Faro,"North Carolina, United States",Remote,Contract,"Generative Ai, Llm","Senior, Google Cloud, Azure, Devops, Manual Testing, Jira, Junior, Lead, Expert, Aws",English,"Contractor, Expert, Lead, Senior",,Recent,https://www.linkedin.com/jobs/view/senior-manual-qa-engineer-at-faro-4415559208,2026-05-18T13:53:58.111373+00:00
14,Python Test | USA,linkedin,Senior Manual QA Engineer,Faro,"Massachusetts, United States",Remote,Contract,"Generative Ai, Llm","Senior, Google Cloud, Azure, Devops, Manual Testing, Jira, Junior, Lead, Expert, Aws",English,"Contractor, Expert, Lead, Senior",,Recent,https://www.linkedin.com/jobs/view/senior-manual-qa-engineer-at-faro-4415546772,2026-05-18T13:53:58.111672+00:00
14,Python Test | United Kingdom,linkedin,Quality Engineer,SGS,"Barnet, England, United Kingdom",On-site,Contract,Go,Lead,English,Lead,,Recent,https://uk.linkedin.com/jobs/view/quality-engineer-at-sgs-4404680781,2026-05-18T13:54:00.589449+00:00
14,Python Test | United Kingdom,linkedin,Quality Assurance Engineer,FMX,"London Area, United Kingdom",On-site,Full-time,Go,"Senior, Manual Testing, Junior, Agile, Lead, Performance Testing",English,"Lead, Senior",,Recent,https://uk.linkedin.com/jobs/view/quality-assurance-engineer-at-fmx-4408699011,2026-05-18T13:54:00.589767+00:00
14,Firmware Engineer | Germany,linkedin,Embedded Software Engineer (m/f/d),Novanta Inc.,"Berlin, Berlin, Germany",On-site,Contract,"C, C++, Can","Qnx, Expert",English,Expert,,Recent,https://de.linkedin.com/jobs/view/embedded-software-engineer-m-f-d-at-novanta-inc-4414765386,2026-05-18T13:54:02.964541+00:00
14,Firmware Engineer | Germany,linkedin,Embedded Firmware Developer (Agri-Tech / Sensor Systems) (m/f/d),stenon,"Potsdam, Brandenburg, Germany",Remote,Contract,"Arm, C, C++, Can, Ci/Cd, Embedded Linux, Firmware, I2C, Microcontroller, Python, Spi, Uart","Stm32, Docker, Esp32, Expert, Linux, Soc, Git",English,Expert,,Recent,https://de.linkedin.com/jobs/view/embedded-firmware-developer-agri-tech-sensor-systems-m-f-d-at-stenon-4406545307,2026-05-18T13:54:02.964714+00:00
14,Firmware Engineer | Germany,linkedin,Embedded Software Engineer,SR2 | Socially Responsible Recruitment | Certified B Corporation™,"Munich, Bavaria, Germany",Remote,Full-time,"C, C++, Firmware",Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/embedded-software-engineer-at-sr2-socially-responsible-recruitment-certified-b-corporation%E2%84%A2-4402457265,2026-05-18T13:54:02.965050+00:00
14,Firmware Engineer | Germany,linkedin,Embedded Software Developer (m/w/d),Actana Consulting Services GmbH,"Oberkochen, Baden-Württemberg, Germany",On-site,Full-time,"C, C++, Can","Architect, Freertos, Qnx, Confluence, R, Jira, Agile, Linux, Git",German,Architect,,Recent,https://de.linkedin.com/jobs/view/embedded-software-developer-m-w-d-at-actana-consulting-services-gmbh-4412938106,2026-05-18T13:54:02.965562+00:00
14,Firmware Engineer | Germany,linkedin,Embedded Software Developer - Freelance / Teilzeit / Nebenberuflich Selbständig,Software Engineering Weber GmbH,"Kempten, Bavaria, Germany",On-site,Contract,"C, C++, Can, Python","Stm32, R, Linux, Freelancer",German,Freelancer,,Recent,https://de.linkedin.com/jobs/view/embedded-software-developer-freelance-teilzeit-nebenberuflich-selbst%C3%A4ndig-at-software-engineering-weber-gmbh-4412084789,2026-05-18T13:54:02.965720+00:00
14,Firmware Engineer | Austria,linkedin,Embedded Software Engineer,Tractive,"Linz, Upper Austria, Austria",On-site,Contract,"C, Embedded Systems, Firmware, Go, Unit Testing","Scrum, Safe, Expert",English,Expert,,Recent,https://at.linkedin.com/jobs/view/embedded-software-engineer-at-tractive-4408227875,2026-05-18T13:54:05.329482+00:00
14,Firmware Engineer | Austria,linkedin,Senior Firmware Engineer (f/m/d),Easelink,"Graz, Styria, Austria",Remote,Contract,"Can, Embedded Systems, Firmware","Senior, Head Of, Iso 26262, Autosar, Aspice",English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-firmware-engineer-f-m-d-at-easelink-4406481314,2026-05-18T13:54:05.329638+00:00
14,Firmware Engineer | Austria,linkedin,Senior Embedded Software Engineer (m/f/d),CycloTech GmbH,"Linz, Upper Austria, Austria",Remote,Internship,Embedded Systems,"Senior, Staff",English,"Senior, Staff",,Recent,https://at.linkedin.com/jobs/view/senior-embedded-software-engineer-m-f-d-at-cyclotech-gmbh-4409298206,2026-05-18T13:54:05.329946+00:00
14,Firmware Engineer | Austria,linkedin,Embedded Systems & Verification Engineer (m/f/d),PIDSO--Propagation Ideas and Solutions,"Vienna, Vienna, Austria",Hybrid,Contract,"C, C++, Ci/Cd, Driver Development, Embedded Systems, Hil, I2C, Python, Rtos, Spi, Test Automation, Uart","Fpga, Team Lead, Confluence, R, Jira, Head Of, Lead, Soc, Git",English,Lead,,Recent,https://at.linkedin.com/jobs/view/embedded-systems-verification-engineer-m-f-d-at-pidso-propagation-ideas-and-solutions-4402471459,2026-05-18T13:54:05.330252+00:00
14,Firmware Engineer | Austria,linkedin,Embedded Software Engineer C++ V2X (all genders),Kapsch Group,"Innere Stadt, Vienna, Austria",Remote,Internship,"C, C++, Can, Embedded Systems, Jenkins","Confluence, Grafana, Jira, Expert, Linux, Git",English,Expert,,Recent,https://at.linkedin.com/jobs/view/embedded-software-engineer-c%2B%2B-v2x-all-genders-at-kapsch-group-4412347974,2026-05-18T13:54:05.330435+00:00
14,Firmware Engineer | Switzerland,linkedin,Embedded Software Engineer (m/w/d),STÄUBLI,"Sargans, St Gallen, Switzerland",On-site,Internship,"C, C++, Ci/Cd, Firmware, Hil, Python","Architect, R",German,Architect,,Recent,https://ch.linkedin.com/jobs/view/embedded-software-engineer-m-w-d-at-st%C3%A4ubli-4409376242,2026-05-18T13:54:07.751260+00:00
14,Firmware Engineer | Remote,linkedin,Senior Software Engineer,Portless,Germany,On-site,Contract,"Javascript, Typescript","Senior, Azure, Scrum, Microservices, Agile, Lead, Expert, Aws, Staff, React",English,"Expert, Lead, Senior, Staff",,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-at-portless-4409469106,2026-05-18T13:54:10.123921+00:00
14,Firmware Engineer | Remote,linkedin,Software Engineer I - Entry Level,Mercor,"Berlin, Berlin, Germany",Remote,Contract,Python,"Contractor, Fastapi",English,Contractor,,Recent,https://de.linkedin.com/jobs/view/software-engineer-i-entry-level-at-mercor-4405352011,2026-05-18T13:54:10.124239+00:00
14,Firmware Engineer | Remote,linkedin,Freelance Embedded Software Engineer,Vivid Resourcing,Germany,Remote,Contract,"Arm, C, C++, Ci/Cd, Embedded Linux, Embedded Systems, Firmware, I2C, Python, Rtos, Spi, Uart","Zephyr, Freertos, Agile, Linux, Freelancer",English,Freelancer,,Recent,https://de.linkedin.com/jobs/view/freelance-embedded-software-engineer-at-vivid-resourcing-4383759739,2026-05-18T13:54:10.124424+00:00
14,Firmware Engineer | Remote,linkedin,Senior Software Engineer (m/f/d),Credibur,Germany,Remote,Contract,"Ci/Cd, Python","Senior, Git, Postgresql, Aws, Django",English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-m-f-d-at-credibur-4414147202,2026-05-18T13:54:10.124576+00:00
14,Firmware Engineer | Remote,linkedin,Principal Software Engineer | Upto $150/hr,Mercor,"Berlin, Berlin, Germany",Remote,Contract,,"Github, Senior, Principal",English,"Principal, Senior",,Recent,https://de.linkedin.com/jobs/view/principal-software-engineer-upto-%24150-hr-at-mercor-4408353631,2026-05-18T13:54:10.124877+00:00
14,Firmware Engineer | Slovakia,linkedin,Junior Software Engineer,Synpulse8,"Bratislava, Bratislava, Slovakia",Remote,Contract,"Can, Java","Senior, Internship, Scrum, Junior, Agile, Sql",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/junior-software-engineer-at-synpulse8-4413466270,2026-05-18T13:54:12.499845+00:00
14,Firmware Engineer | Slovakia,linkedin,Software Engineer III,PDI Technologies,"Košice, Kosice, Slovakia",Remote,Contract,"C, Javascript","Azure, Devops, Jira, Agile, Lead, Team Lead, C#, Product Owner, Linux, Angular",English,Lead,,Recent,https://sk.linkedin.com/jobs/view/software-engineer-iii-at-pdi-technologies-4413011648,2026-05-18T13:54:12.500030+00:00
14,Firmware Engineer | Slovakia,linkedin,Senior Software Engineer,Bloomreach,Slovakia,Remote,Contract,"Ai Agents, Can, Go, Python","Redis, Senior, Google Cloud, Gcp, Engineering Manager, Gitlab, Mongodb, Kubernetes, Sql",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-at-bloomreach-4289254318,2026-05-18T13:54:12.500201+00:00
14,Firmware Engineer | Slovakia,linkedin,Senior Java Software Engineer,Accenture,"Bratislava, Slovakia",Hybrid,Contract,"Ci/Cd, Java, Jenkins","Senior, Devops, Openshift, Microservices, Docker, Nosql, Aws, Kubernetes, Sql",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-java-software-engineer-at-accenture-4411187560,2026-05-18T13:54:12.500546+00:00
14,Firmware Engineer | Slovakia,linkedin,Software Engineer - Backend & Data (Eastern Europe),SPATE,Slovakia,Remote,Contract,"Can, Python","Azure, Gcp, Sql, Data Science, Aws, Staff, Contractor, Pandas",English,"Contractor, Staff",,Recent,https://sk.linkedin.com/jobs/view/software-engineer-backend-data-eastern-europe-at-spate-4413840911,2026-05-18T13:54:12.501165+00:00
14,Firmware Engineer | Slovakia,linkedin,Junior Software Engineer,Synpulse,"Bratislava, Bratislava, Slovakia",Remote,Contract,"Can, Java","Senior, Internship, Scrum, Junior, Agile, Sql",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/junior-software-engineer-at-synpulse-4416235193,2026-05-18T13:54:12.501336+00:00
14,Firmware Engineer | Czech Republic,linkedin,Remote Software Engineer (AI Code Evaluation),Braintrust,Dominican Republic,Remote,Contract,"C, C++, Can, Java, Javascript, Python",Expert,English,Expert,,Recent,https://do.linkedin.com/jobs/view/remote-software-engineer-ai-code-evaluation-at-braintrust-4415827053,2026-05-18T13:54:14.927612+00:00
14,Firmware Engineer | Czech Republic,linkedin,Senior Software Engineer,Fulcrum Digital Inc,Dominican Republic,On-site,Full-time,"Can, Llm, Python","Senior, Spark, Agile, Databricks, Lead, Sql",English,"Lead, Senior",,Recent,https://do.linkedin.com/jobs/view/senior-software-engineer-at-fulcrum-digital-inc-4414122819,2026-05-18T13:54:14.927927+00:00
14,Firmware Engineer | Czech Republic,linkedin,Software Engineer - AI & Automations,Emapta Global,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Contract,"Can, Claude, Llm, Playwright, Python, Selenium","Architect, Docker, Aws, React",English,Architect,,Recent,https://do.linkedin.com/jobs/view/software-engineer-ai-automations-at-emapta-global-4408980125,2026-05-18T13:54:14.928229+00:00
14,Firmware Engineer | Poland,linkedin,Software Engineer (4/5) — Developer Platform,Netflix,"Warsaw, Mazowieckie, Poland",On-site,Contract,"Can, Java, Javascript, Python","Golang, Lead, Expert, Linux, Aws, Machine Learning, Kubernetes",English,"Expert, Lead",,Recent,https://pl.linkedin.com/jobs/view/software-engineer-4-5-%E2%80%94-developer-platform-at-netflix-4193468200,2026-05-18T13:54:17.297746+00:00
14,Firmware Engineer | USA,linkedin,Software Engineer I,Twitch,"San Francisco, CA",Remote,Contract,"Can, Go","Aws, Architect",English,Architect,,Recent,https://www.linkedin.com/jobs/view/software-engineer-i-at-twitch-4406584425,2026-05-18T13:54:19.895807+00:00
14,Firmware Engineer | United Kingdom,linkedin,"Software Engineer, New Grad",Deliveroo,"London, England, United Kingdom",On-site,Full-time,"Can, Go, Python, Rust","Senior, Scala, Mysql, Ruby, Postgresql",English,Senior,,Recent,https://uk.linkedin.com/jobs/view/software-engineer-new-grad-at-deliveroo-4379662791,2026-05-18T13:54:22.337341+00:00
14,Firmware Engineer | United Kingdom,linkedin,Embedded Software Engineer,Space Forge,"Cardiff, Wales, United Kingdom",Remote,Full-time,"Arm, C, C++, Can, Python, Rtos, Uart","Senior, Manual Testing, Jira, Agile, Waterfall",English,Senior,,Recent,https://uk.linkedin.com/jobs/view/embedded-software-engineer-at-space-forge-4412751247,2026-05-18T13:54:22.337542+00:00
14,Firmware Engineer | United Kingdom,linkedin,Junior Software Engineer,Tripadvisor,"London, England, United Kingdom",Remote,Contract,"C, C++, Can, Java, Typescript","Graphql, Nosql, Junior, Agile, Expert, C#, Aws, React, Kubernetes, Sql",English,Expert,,Recent,https://uk.linkedin.com/jobs/view/junior-software-engineer-at-tripadvisor-4314044699,2026-05-18T13:54:22.337704+00:00
14,Firmware Engineer | United Kingdom,linkedin,Embedded Software Engineer,Deep Sea Electronics Ltd,"Nottinghamshire, England, United Kingdom",On-site,Internship,"C, C++, Can, Ci/Cd, Embedded Systems, Jenkins, Microcontroller, Rtos, Sil","Misra C, Jira, Agile, Expert, Git",English,Expert,,Recent,https://uk.linkedin.com/jobs/view/embedded-software-engineer-at-deep-sea-electronics-ltd-4414701006,2026-05-18T13:54:22.338017+00:00
14,Firmware Engineer | United Kingdom,linkedin,"Senior Software Engineer, Embedded C++",Roku,"Cambridge, England, United Kingdom",Remote,Contract,"C, C++, Can, Firmware, Python","Senior, Lead",English,"Lead, Senior",,Recent,https://uk.linkedin.com/jobs/view/senior-software-engineer-embedded-c%2B%2B-at-roku-4374730170,2026-05-18T13:54:22.338174+00:00
14,Firmware Engineer | United Kingdom,linkedin,Graduate Firmware Engineer,hackajob,"Luton, England, United Kingdom",Hybrid,Contract,"Embedded Systems, Firmware","Graduate, Fpga, Expert, Vhdl",English,Expert,,Recent,https://uk.linkedin.com/jobs/view/graduate-firmware-engineer-at-hackajob-4403308071,2026-05-18T13:54:22.338501+00:00
0,Tester | Germany,linkedin,Software Engineer in Test (Berlin),Cresta,"Berlin, Berlin, Germany",On-site,Contract,"Can, Ci/Cd, Go, Playwright, Typescript","Cypress, Grafana, Manual Testing, Datadog",English,,,Recent,https://de.linkedin.com/jobs/view/software-engineer-in-test-berlin-at-cresta-4343158227,2026-05-18T13:51:29.669447+00:00
0,Tester | Germany,linkedin,QA Manual Tester (all genders),JustPlay,"Grünwald, Bavaria, Germany",Remote,Contract,,"Jira, Agile, Regression Testing",English,,,Recent,https://de.linkedin.com/jobs/view/qa-manual-tester-all-genders-at-justplay-4405231895,2026-05-18T13:51:29.669648+00:00
0,Tester | Germany,linkedin,Test Engineer,Auxo Talent,Germany,On-site,Contract,"Ci/Cd, Java, Jenkins, Python, Test Automation","Devops, Graphql, Kotlin, Gitlab Ci, Gitlab, Git",English,,,Recent,https://de.linkedin.com/jobs/view/test-engineer-at-auxo-talent-4413593558,2026-05-18T13:51:29.669820+00:00
0,Tester | Germany,linkedin,Software Tester (m/w/d),Bizerba,"Balingen, Baden-Württemberg, Germany",Hybrid,Full-time,Test Automation,"R, Linux",German,,,Recent,https://de.linkedin.com/jobs/view/software-tester-m-w-d-at-bizerba-4369545776,2026-05-18T13:51:29.669979+00:00
0,Tester | Germany,linkedin,Software Test Engineer (m/w/d) – Banking  (ID: 22229),Da Vinci Engineering GmbH,"Karlsruhe, Baden-Württemberg, Germany",On-site,Internship,,"Associate, Confluence, Scrum, R, Jira, Kanban, Postman",German,,,Recent,https://de.linkedin.com/jobs/view/software-test-engineer-m-w-d-%E2%80%93-banking-id-22229-at-da-vinci-engineering-gmbh-4387962742,2026-05-18T13:51:29.670143+00:00
0,Tester | Germany,linkedin,Software Tester (m/w/d),Computer Futures,"Hannover, Lower Saxony, Germany",Remote,Full-time,,R,German,,,Recent,https://de.linkedin.com/jobs/view/software-tester-m-w-d-at-computer-futures-4404079613,2026-05-18T13:51:29.670333+00:00
0,Tester | Germany,linkedin,Software Test Engineer (m/w/d) – Banking (ID: 22230),Da Vinci Engineering GmbH,"Münster, North Rhine-Westphalia, Germany",On-site,Internship,,"Associate, Confluence, Scrum, R, Jira, Kanban, Postman",German,,,Recent,https://de.linkedin.com/jobs/view/software-test-engineer-m-w-d-%E2%80%93-banking-id-22230-at-da-vinci-engineering-gmbh-4387968513,2026-05-18T13:51:29.670505+00:00
0,Tester | Germany,linkedin,Software Tester (all genders),NFON AG,Germany,On-site,Internship,"Ci/Cd, Llm, Python, Test Automation","Node.Js, Devops, R",German,,,Recent,https://de.linkedin.com/jobs/view/software-tester-all-genders-at-nfon-ag-4412229202,2026-05-18T13:51:29.670665+00:00
0,Tester | Germany,linkedin,IT-Software Tester,CompuSafe Data Systems AG,"Berlin, Germany",Remote,Full-time,,"R, Jira",German,,,Recent,https://de.linkedin.com/jobs/view/it-software-tester-at-compusafe-data-systems-ag-4408794830,2026-05-18T13:51:29.670813+00:00
0,Tester | Germany,linkedin,Software Tester (m/w/d),The Adecco Group,Greater Kassel Area,On-site,Full-time,Can,R,German,,,Recent,https://de.linkedin.com/jobs/view/software-tester-m-w-d-at-the-adecco-group-4406294136,2026-05-18T13:51:29.670976+00:00
0,Tester | Austria,linkedin,Software Tester,FB Consulting & Trade GmbH,"Vienna, Austria",Remote,Contract,"Selenium, Test Automation","Appium, Azure, Scrum, Devops, Jira, Agile, Kanban",English,,,Recent,https://at.linkedin.com/jobs/view/software-tester-at-fb-consulting-trade-gmbh-4410472405,2026-05-18T13:51:32.092748+00:00
0,Tester | Austria,linkedin,Software Test Engineer @ AutomationX,DEVjobs,"Graz, Styria, Austria",Remote,Full-time,"C, C++, Ci/Cd, Jenkins, Python",Linux,German,,,Recent,https://at.linkedin.com/jobs/view/software-test-engineer-%40-automationx-at-devjobs-4413867417,2026-05-18T13:51:32.092933+00:00
0,Tester | Austria,linkedin,AI Scenario Tester,JHC Consulting,"Vienna, Vienna, Austria",Remote,Full-time,Can,,English,,,Recent,https://at.linkedin.com/jobs/view/ai-scenario-tester-at-jhc-consulting-4412198285,2026-05-18T13:51:32.093093+00:00
0,Tester | Austria,linkedin,QA Engineer (m/w/d),Yorizon Cloud,"Vienna, Austria",Remote,Internship,"Ci/Cd, Test Automation","Devops, R, Agile",German,,,Recent,https://at.linkedin.com/jobs/view/qa-engineer-m-w-d-at-yorizon-cloud-4398273672,2026-05-18T13:51:32.093247+00:00
0,Tester | Austria,linkedin,Software Tester (Analytics & GUI),MXP,"Graz, Styria, Austria",On-site,Contract,"Ci/Cd, Playwright, Test Automation",Cypress,English,,,Recent,https://at.linkedin.com/jobs/view/software-tester-analytics-gui-at-mxp-4406979574,2026-05-18T13:51:32.093445+00:00
0,Tester | Austria,linkedin,SOFTWARE TEST ENGINEER (m/w/d),Instaffo,"Linz, Upper Austria, Austria",On-site,Full-time,,"Confluence, R, Jira, Cypress, Git",German,,,Recent,https://at.linkedin.com/jobs/view/software-test-engineer-m-w-d-at-instaffo-4383810713,2026-05-18T13:51:32.093604+00:00
0,Tester | Austria,linkedin,Production Test Automation Engineer (m/w/d),Vusion,"Fernitz-Mellach, Styria, Austria",Remote,Contract,"Python, Test Automation",Safe,English,,,Recent,https://at.linkedin.com/jobs/view/production-test-automation-engineer-m-w-d-at-vusion-4404740123,2026-05-18T13:51:32.093915+00:00
0,Tester | Austria,linkedin,Software Test Engineer (f/m/d),COPA-DATA,"Salzburg, Salzburg, Austria",Remote,Contract,Can,"Junior, Performance Testing, Linux",English,,,Recent,https://at.linkedin.com/jobs/view/software-test-engineer-f-m-d-at-copa-data-4406956596,2026-05-18T13:51:32.094227+00:00
0,Tester | Switzerland,linkedin,Junior Software Tester,ITech Consult AG,"Zurich, Switzerland",Remote,Contract,,"Scrum, Jira, Junior, Agile, Kanban",English,,,Recent,https://ch.linkedin.com/jobs/view/junior-software-tester-at-itech-consult-ag-4410463291,2026-05-18T13:51:34.487682+00:00
0,Tester | Switzerland,linkedin,Test engineer,Qim info,"Geneva, Switzerland",Hybrid,Contract,"Ci/Cd, Java, Python, Shell, Test Automation","Load Testing, Jira, Agile, Waterfall, Performance Testing",English,,,Recent,https://ch.linkedin.com/jobs/view/test-engineer-at-qim-info-4403757271,2026-05-18T13:51:34.487867+00:00
0,Tester | Switzerland,linkedin,Test Engineer,Pascal Dietrich Consulting AG,"Zurich, Switzerland",On-site,Full-time,"Ci/Cd, Test Automation","Azure, Devops, R, Jira, Gitlab",German,,,Recent,https://ch.linkedin.com/jobs/view/test-engineer-at-pascal-dietrich-consulting-ag-4407273406,2026-05-18T13:51:34.488021+00:00
0,Tester | Switzerland,linkedin,Test engineer,KEYTEO,"Geneva, Switzerland",On-site,Full-time,"Ci/Cd, Java, Jenkins, Python, Shell, Test Automation","Load Testing, Jira, Agile, Waterfall, Performance Testing",English,,,Recent,https://ch.linkedin.com/jobs/view/test-engineer-at-keyteo-4402860898,2026-05-18T13:51:34.488352+00:00
0,Tester | Switzerland,linkedin,Software Test Engineer (H/F),fortil,Lausanne Metropolitan Area,On-site,Contract,"Ci/Cd, Java, Playwright, Selenium, Test Automation, Unit Testing","Regression Testing, Microservices, Manual Testing, Jira, Postman, Git",English,,,Recent,https://ch.linkedin.com/jobs/view/software-test-engineer-h-f-at-fortil-4407812849,2026-05-18T13:51:34.488513+00:00
0,Tester | Switzerland,linkedin,Test Engineer,Glocomms,"Zurich, Switzerland",On-site,Contract,"Ci/Cd, Test Automation","Azure, Devops, Jira, Agile, Gitlab",English,,,Recent,https://ch.linkedin.com/jobs/view/test-engineer-at-glocomms-4406787841,2026-05-18T13:51:34.488667+00:00
0,Tester | Switzerland,linkedin,Software Test Engineer (H/F),fortil,"Meyrin, Geneva, Switzerland",On-site,Contract,"Ci/Cd, Java, Playwright, Selenium, Test Automation, Unit Testing","Regression Testing, Microservices, Manual Testing, Jira, Postman, Git",English,,,Recent,https://ch.linkedin.com/jobs/view/software-test-engineer-h-f-at-fortil-4407379511,2026-05-18T13:51:34.488826+00:00
0,Tester | Switzerland,linkedin,Test Engineer,ITech Consult AG,"Bern, Berne, Switzerland",Remote,Full-time,"Robot Framework, System Testing, Test Automation","Splunk, R, Jira",German,,,Recent,https://ch.linkedin.com/jobs/view/test-engineer-at-itech-consult-ag-4413046718,2026-05-18T13:51:34.489140+00:00
0,Tester | Remote,linkedin,App-Tester  (m/w/d),clickworker,Germany,Remote,Internship,,R,German,,,Recent,https://de.linkedin.com/jobs/view/app-tester-m-w-d-at-clickworker-4405501584,2026-05-18T13:51:36.896402+00:00
0,Tester | Remote,linkedin,Test Engineer (m/w/d),oneclick Group AG,"Traunstein, Bavaria, Germany",Remote,Contract,"Ci/Cd, Go, Playwright, Typescript","Redis, Node.Js, Microservices, Mysql, Docker, Gitlab Ci, Express, Devops, Grafana, R",German,,,Recent,https://de.linkedin.com/jobs/view/test-engineer-m-w-d-at-oneclick-group-ag-4413814452,2026-05-18T13:51:36.896564+00:00
0,Tester | Remote,linkedin,Quality Assurance Test Engineer (m/f/d),LimeSurvey GmbH,"Hamburg, Hamburg, Germany",Remote,Internship,"Can, Javascript, Playwright, Selenium, Typescript","Redis, Php, Cypress, Manual Testing, Mysql, Docker, React",English,,,Recent,https://de.linkedin.com/jobs/view/quality-assurance-test-engineer-m-f-d-at-limesurvey-gmbh-4413441630,2026-05-18T13:51:36.896723+00:00
0,Tester | Remote,linkedin,Software Tester (m/w/d) Full Remote,Computer Futures,"Berlin, Berlin, Germany",Remote,Full-time,"Bash, Java, Shell","Spring Boot, Hibernate, Docker, Linux, Angular, Kubernetes, Sql",German,,,Recent,https://de.linkedin.com/jobs/view/software-tester-m-w-d-full-remote-at-computer-futures-4413298979,2026-05-18T13:51:36.896879+00:00
0,Tester | Remote,linkedin,Test Engineer,FormFactor Inc.,"Thiendorf, Saxony, Germany",Remote,Internship,,R,English,,,Recent,https://de.linkedin.com/jobs/view/test-engineer-at-formfactor-inc-4414702828,2026-05-18T13:51:36.897178+00:00
0,Tester | Slovakia,linkedin,Manual Tester (42538),CoolPeople,Bratislava Metropolitan Area,On-site,Full-time,,"R, Jira",English,,,Recent,https://sk.linkedin.com/jobs/view/manual-tester-42538-at-coolpeople-4410067078,2026-05-18T13:51:39.269692+00:00
